id,bus_route_id,bus_stop_id,bus_stop_number,created_at,updated_at
121,612,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
122,615,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
123,646,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
124,656,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
125,660,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
126,686,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
127,1140,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
128,828,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
129,992,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
130,1206,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
131,1100,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
132,1121,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
133,1122,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
134,1123,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
135,1125,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
136,1126,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
137,1127,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
138,1129,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
139,1236,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
140,1237,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
141,714,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
142,690,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
143,1963,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
144,527,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
145,528,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
146,683,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
147,676,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
148,677,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
149,684,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
150,679,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
151,682,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
152,1260,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
153,1261,26,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
154,1101,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
155,1108,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
156,1109,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
157,1111,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
158,1114,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
159,1115,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
160,1117,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
161,1119,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
162,1121,27,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
163,493,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
164,15,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
165,507,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
166,556,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
167,559,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
168,613,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
169,609,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
170,610,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
171,611,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
172,612,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
173,615,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
174,686,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
175,1140,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
176,828,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
177,992,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
178,1206,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
179,1100,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
180,1115,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
181,1117,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
182,1121,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
183,1123,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
184,1125,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
185,1126,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
186,1127,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
187,1129,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
188,1236,28,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
