bus_stop_id,city,formatted_address
5628,千葉市若葉区,千葉県千葉市若葉区東寺山町
5629,千葉市若葉区,千葉県千葉市若葉区東寺山町
5630,千葉市若葉区,千葉県千葉市若葉区みつわ台一丁目
5631,千葉市若葉区,千葉県千葉市若葉区若松台三丁目
5632,千葉市若葉区,千葉県千葉市若葉区若松台三丁目
5633,千葉市若葉区,千葉県千葉市若葉区若松台一丁目
5634,千葉市若葉区,千葉県千葉市若葉区小倉台四丁目
5635,千葉市若葉区,千葉県千葉市若葉区千城台北一丁目
5636,四街道市,千葉県四街道市つくし座一丁目
5637,千葉市若葉区,千葉県千葉市若葉区都賀五丁目
5638,千葉市若葉区,千葉県千葉市若葉区原町
5639,千葉市若葉区,千葉県千葉市若葉区原町
5640,千葉市若葉区,千葉県千葉市若葉区西都賀一丁目
5641,四街道市,千葉県四街道市めいわ二丁目
5642,四街道市,千葉県四街道市めいわ二丁目
5643,千葉市若葉区,千葉県千葉市若葉区殿台町
5644,千葉市若葉区,千葉県千葉市若葉区都賀の台三丁目
5645,四街道市,千葉県四街道市美しが丘一丁目
5646,千葉市若葉区,千葉県千葉市若葉区小倉台五丁目
5647,四街道市,千葉県四街道市さちが丘一丁目
5648,四街道市,千葉県四街道市さちが丘一丁目
5649,千葉市若葉区,千葉県千葉市若葉区御成台四丁目
5650,佐倉市,千葉県佐倉市馬渡
5651,千葉市若葉区,千葉県千葉市若葉区御成台二丁目
5652,四街道市,千葉県四街道市鷹の台四丁目
5653,四街道市,千葉県四街道市鷹の台三丁目
5654,四街道市,千葉県四街道市鷹の台二丁目
5655,千葉市若葉区,千葉県千葉市若葉区御成台二丁目
5656,千葉市若葉区,千葉県千葉市若葉区御成台三丁目
5657,千葉市若葉区,千葉県千葉市若葉区下田町
5658,四街道市,千葉県四街道市鷹の台一丁目
5659,千葉市若葉区,千葉県千葉市若葉区御成台四丁目
5660,四街道市,千葉県四街道市鷹の台一丁目
5661,四街道市,千葉県四街道市小名木
5662,四街道市,千葉県四街道市吉岡
5663,四街道市,千葉県四街道市吉岡
5664,四街道市,千葉県四街道市鷹の台一丁目
5665,四街道市,千葉県四街道市上野
5666,四街道市,千葉県四街道市上野
5667,四街道市,千葉県四街道市上野
5668,四街道市,千葉県四街道市南波佐間
