id,gml_id,name,latitude,longitude,created_at,updated_at,postal_code,prefecture,city,formatted_address,keyword
113,ED01_113,青柳,34.98116317,139.86711355,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
114,ED01_114,切割,34.96413637,139.85882462,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
115,ED01_115,館山小学校前,34.98393442,139.85289144,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
116,ED01_116,運動公園前,34.95836328,139.85149042,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
117,ED01_117,谷藤原,34.95558268,139.84877032,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
118,ED01_118,上洲の宮,34.95261602,139.84038144,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
119,ED01_119,洲の宮,34.94970661,139.83577981,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
120,ED01_120,安房神戸,34.9461524,139.83612575,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
121,ED01_121,安房佐野,34.94071058,139.84044685,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
122,ED01_122,宮前,34.9264349,139.83461838,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
123,ED01_123,相の浜,34.92401897,139.83096489,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
124,ED01_124,中山隧道,34.94729453,139.87043231,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
125,ED01_125,上神余,34.94043128,139.87097998,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
126,ED01_126,安房大倉,34.93462398,139.86978136,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
127,ED01_127,浜町,34.97493878,139.80669672,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
128,ED01_128,安房浜田,34.97409414,139.80314662,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
129,ED01_129,西岬,34.97400144,139.80182922,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
130,ED01_130,西岬小入口,34.96716605,139.79662129,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
131,ED01_131,見物海岸,34.9738152,139.79778978,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
